UserID,Genre,MovieInfo_RS,MovieInfo_LLM,Ratings_RS,Ratings_LLM,Rankings_RS,Rankings_LLM,RMSE_Ratings,MAE_Ratings,OverlapPercentage_Rankings,MAD_Ratings,RMSD_Ratings
1,['Action'],"[{'Movie': 'North by Northwest (1959)', 'Rank': 1, 'Rating': '5.00'}, {'Movie': ""Once Upon a Time in the West (C'era una volta il West) (1968)"", 'Rank': 2, 'Rating': '5.00'}, {'Movie': 'Great Escape, The (1963)', 'Rank': 3, 'Rating': '5.00'}, {'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': 4, 'Rating': '5.00'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 5, 'Rating': '4.99'}, {'Movie': 'Yojimbo (1961)', 'Rank': 6, 'Rating': '4.99'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': 7, 'Rating': '4.92'}, {'Movie': 'Seven Samurai (Shichinin no samurai) (1954)', 'Rank': 8, 'Rating': '4.91'}, {'Movie': 'Guardians of the Galaxy (2014)', 'Rank': 9, 'Rating': '4.90'}, {'Movie': 'Inglourious Basterds (2009)', 'Rank': 10, 'Rating': '4.90'}]","[{'Movie': 'North by Northwest (1959)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': '2', 'Rating': '4.4'}, {'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': '3', 'Rating': '4.3'}, {'Movie': 'Inglourious Basterds (2009)', 'Rank': '4', 'Rating': '4.3'}, {'Movie': ""Once Upon a Time in the West (C'era una volta il West) (1968)"", 'Rank': '5', 'Rating': '4.2'}, {'Movie': 'Seven Samurai (Shichinin no samurai) (1954)', 'Rank': '6', 'Rating': '4.2'}, {'Movie': 'Guardians of the Galaxy (2014)', 'Rank': '7', 'Rating': '4.1'}, {'Movie': 'Yojimbo (1961)', 'Rank': '8', 'Rating': '4.0'}, {'Movie': 'Great Escape, The (1963)', 'Rank': '9', 'Rating': '4.0'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '10', 'Rating': '3.8'}]",[4.99 5.   4.92 5.   4.9  4.9  5.   5.   4.91 4.99],[3.8 4.3 4.4 4.  4.1 4.3 4.5 4.2 4.2 4. ],[ 5  4  7  3  9 10  1  2  8  6],[10  3  2  9  7  4  1  5  6  8],0.809363948,0.781,10,0.781,0.809363948
2,['Action'],"[{'Movie': 'North by Northwest (1959)', 'Rank': 1, 'Rating': '4.54'}, {'Movie': 'Great Escape, The (1963)', 'Rank': 2, 'Rating': '4.43'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': 3, 'Rating': '4.41'}, {'Movie': 'Fight Club (1999)', 'Rank': 4, 'Rating': '4.40'}, {'Movie': 'Star Wars: Episode IV - A New Hope (1977)', 'Rank': 5, 'Rating': '4.39'}, {'Movie': 'Seven Samurai (Shichinin no samurai) (1954)', 'Rank': 6, 'Rating': '4.35'}, {'Movie': 'Matrix, The (1999)', 'Rank': 7, 'Rating': '4.34'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 8, 'Rating': '4.34'}, {'Movie': 'Lord of the Rings: The Return of the King, The (2003)', 'Rank': 9, 'Rating': '4.31'}, {'Movie': 'Akira (1988)', 'Rank': 10, 'Rating': '4.31'}]","[{'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': '1', 'Rating': '4.8'}, {'Movie': 'Star Wars: Episode IV - A New Hope (1977)', 'Rank': '2', 'Rating': '4.7'}, {'Movie': 'Matrix, The (1999)', 'Rank': '3', 'Rating': '4.6'}, {'Movie': 'North by Northwest (1959)', 'Rank': '4', 'Rating': '4.5'}, {'Movie': 'Akira (1988)', 'Rank': '5', 'Rating': '4.4'}, {'Movie': 'Seven Samurai (Shichinin no samurai) (1954)', 'Rank': '6', 'Rating': '4.2'}, {'Movie': 'Fight Club (1999)', 'Rank': '7', 'Rating': '3.5'}, {'Movie': 'Lord of the Rings: The Return of the King, The (2003)', 'Rank': '8', 'Rating': '3.8'}, {'Movie': 'Great Escape, The (1963)', 'Rank': '9', 'Rating': '3.0'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '10', 'Rating': '3.0'}]",[4.31 4.34 4.4  4.43 4.31 4.34 4.54 4.35 4.39 4.41],[4.4 3.  3.5 3.  3.8 4.6 4.5 4.2 4.7 4.8],[10  8  4  2  9  7  1  6  5  3],[ 5 10  7  9  8  3  4  6  2  1],0.725162051,0.542,10,0.542,0.725162051
3,['Action'],"[{'Movie': 'Aliens (1986)', 'Rank': 1, 'Rating': '4.39'}, {'Movie': 'North by Northwest (1959)', 'Rank': 2, 'Rating': '4.34'}, {'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': 3, 'Rating': '4.34'}, {'Movie': 'Jaws (1975)', 'Rank': 4, 'Rating': '4.26'}, {'Movie': 'Hot Fuzz (2007)', 'Rank': 5, 'Rating': '4.26'}, {'Movie': 'Fight Club (1999)', 'Rank': 6, 'Rating': '4.24'}, {'Movie': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Rank': 7, 'Rating': '4.23'}, {'Movie': 'Gladiator (2000)', 'Rank': 8, 'Rating': '4.22'}, {'Movie': 'Hurt Locker, The (2008)', 'Rank': 9, 'Rating': '4.18'}, {'Movie': 'Blade Runner (1982)', 'Rank': 10, 'Rating': '4.17'}]","[{'Movie': 'Blade Runner (1982)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Aliens (1986)', 'Rank': '2', 'Rating': '4.5'}, {'Movie': 'Jaws (1975)', 'Rank': '3', 'Rating': '4.0'}, {'Movie': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Rank': '4', 'Rating': '4.0'}, {'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': '5', 'Rating': '3.5'}, {'Movie': 'Gladiator (2000)', 'Rank': '6', 'Rating': '3.5'}, {'Movie': 'Hurt Locker, The (2008)', 'Rank': '7', 'Rating': '3.5'}, {'Movie': 'Fight Club (1999)', 'Rank': '8', 'Rating': '3.5'}, {'Movie': 'North by Northwest (1959)', 'Rank': '9', 'Rating': '3.0'}, {'Movie': 'Hot Fuzz (2007)', 'Rank': '10', 'Rating': '3.0'}]",[4.39 4.17 4.34 4.24 4.22 4.26 4.18 4.26 4.34 4.23],[4.5 4.5 3.5 3.5 3.5 3.  3.5 4.  3.  4. ],[ 1 10  3  6  8  5  9  4  2  7],[ 2  1  5  8  6 10  7  3  9  4],0.765421453,0.651,0,0.651,0.765421453
4,['Action'],"[{'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': 1, 'Rating': '3.98'}, {'Movie': 'Yojimbo (1961)', 'Rank': 2, 'Rating': '3.83'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 3, 'Rating': '3.82'}, {'Movie': 'Dark Knight Rises, The (2012)', 'Rank': 4, 'Rating': '3.81'}, {'Movie': 'Jaws (1975)', 'Rank': 5, 'Rating': '3.79'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': 6, 'Rating': '3.78'}, {'Movie': 'Great Escape, The (1963)', 'Rank': 7, 'Rating': '3.78'}, {'Movie': 'Django Unchained (2012)', 'Rank': 8, 'Rating': '3.74'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': 9, 'Rating': '3.73'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': 10, 'Rating': '3.72'}]","[{'Movie': 'City of God (Cidade de Deus)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': '2', 'Rating': '4.5'}, {'Movie': 'Django Unchained (2012)', 'Rank': '3', 'Rating': '4.4'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': '4', 'Rating': '4.3'}, {'Movie': 'Dark Knight Rises, The (2012)', 'Rank': '5', 'Rating': '4.3'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': '6', 'Rating': '4.2'}, {'Movie': 'Yojimbo (1961)', 'Rank': '7', 'Rating': '4.0'}, {'Movie': 'Great Escape, The (1963)', 'Rank': '8', 'Rating': '4.0'}, {'Movie': 'Jaws (1975)', 'Rank': '9', 'Rating': '3.2'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '10', 'Rating': '3.0'}]",[3.78 3.82 3.98 3.81 3.72 3.74 3.73 3.78 3.79 3.83],[4.2 3.  4.5 4.3 4.5 4.4 4.3 4.  3.2 4. ],[ 6  3  1  4 10  8  9  7  5  2],[ 6 10  1  5  2  3  4  8  9  7],0.56156923,0.524,20,0.524,0.56156923
5,['Action'],"[{'Movie': 'Apocalypse Now (1979)', 'Rank': 1, 'Rating': '4.36'}, {'Movie': 'Lord of the Rings: The Return of the King, The (2003)', 'Rank': 2, 'Rating': '4.24'}, {'Movie': 'Fight Club (1999)', 'Rank': 3, 'Rating': '4.24'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': 4, 'Rating': '4.16'}, {'Movie': 'Matrix, The (1999)', 'Rank': 5, 'Rating': '4.13'}, {'Movie': 'Into the Wild (2007)', 'Rank': 6, 'Rating': '4.13'}, {'Movie': 'Jaws (1975)', 'Rank': 7, 'Rating': '4.13'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': 8, 'Rating': '4.12'}, {'Movie': 'Harry Potter and the Deathly Hallows: Part 1 (2010)', 'Rank': 9, 'Rating': '4.12'}, {'Movie': 'Evil Dead II (Dead by Dawn) (1987)', 'Rank': 10, 'Rating': '4.12'}]","[{'Movie': 'Lord of the Rings: The Return of the King', 'Rank': '2', 'Rating': '4.8'}, {'Movie': 'Dark Knight, The', 'Rank': '4', 'Rating': '4.7'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back', 'Rank': '8', 'Rating': '4.6'}, {'Movie': 'Apocalypse Now', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Harry Potter and the Deathly Hallows: Part 1', 'Rank': '9', 'Rating': '4.5'}, {'Movie': 'Matrix, The', 'Rank': '5', 'Rating': '4.4'}, {'Movie': 'Fight Club', 'Rank': '3', 'Rating': '4.3'}, {'Movie': 'Evil Dead II (Dead by Dawn)', 'Rank': '10', 'Rating': '4.0'}, {'Movie': 'Jaws', 'Rank': '7', 'Rating': '3.2'}, {'Movie': 'Into the Wild', 'Rank': '6', 'Rating': '3.0'}]",[4.36 4.16 4.12 4.24 4.12 4.13 4.13 4.24 4.13 4.12],[4.5 4.7 4.  4.3 4.5 3.  3.2 4.8 4.4 4.6],[ 1  4 10  3  9  6  7  2  5  8],[ 1  4 10  3  9  6  7  2  5  8],0.5685332,0.461,100,0.461,0.5685332
6,['Action'],"[{'Movie': 'Fight Club (1999)', 'Rank': 1, 'Rating': '4.59'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': 2, 'Rating': '4.58'}, {'Movie': 'North by Northwest (1959)', 'Rank': 3, 'Rating': '4.54'}, {'Movie': 'Lord of the Rings: The Return of the King, The (2003)', 'Rank': 4, 'Rating': '4.53'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': 5, 'Rating': '4.53'}, {'Movie': 'Army of Darkness (1993)', 'Rank': 6, 'Rating': '4.51'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': 7, 'Rating': '4.50'}, {'Movie': 'Evil Dead II (Dead by Dawn) (1987)', 'Rank': 8, 'Rating': '4.49'}, {'Movie': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Rank': 9, 'Rating': '4.49'}, {'Movie': 'Road Warrior, The (Mad Max 2) (1981)', 'Rank': 10, 'Rating': '4.46'}]","[{'Movie': 'Lord of the Rings: The Return of the King, The (2003)', 'Rank': '1', 'Rating': '4.8'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': '2', 'Rating': '4.7'}, {'Movie': 'Road Warrior, The (Mad Max 2) (1981)', 'Rank': '3', 'Rating': '4.7'}, {'Movie': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Rank': '4', 'Rating': '4.6'}, {'Movie': 'Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)', 'Rank': '5', 'Rating': '4.4'}, {'Movie': 'Fight Club (1999)', 'Rank': '6', 'Rating': '4.5'}, {'Movie': 'North by Northwest (1959)', 'Rank': '7', 'Rating': '4.2'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': '8', 'Rating': '4.3'}, {'Movie': 'Evil Dead II (Dead by Dawn) (1987)', 'Rank': '9', 'Rating': '4.1'}, {'Movie': 'Army of Darkness (1993)', 'Rank': '10', 'Rating': '4.0'}]",[4.51 4.53 4.58 4.49 4.59 4.5  4.53 4.54 4.49 4.46],[4.  4.3 4.7 4.1 4.5 4.4 4.8 4.2 4.6 4.7],[ 6  5  2  8  1  7  4  3  9 10],[10  8  2  9  6  5  1  7  4  3],0.27491817,0.24,10,0.24,0.27491817
7,['Action'],"[{'Movie': 'Great Escape, The (1963)', 'Rank': 1, 'Rating': '4.39'}, {'Movie': 'North by Northwest (1959)', 'Rank': 2, 'Rating': '4.38'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': 3, 'Rating': '4.36'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': 4, 'Rating': '4.30'}, {'Movie': 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Rank': 5, 'Rating': '4.30'}, {'Movie': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Rank': 6, 'Rating': '4.29'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 7, 'Rating': '4.20'}, {'Movie': 'Fight Club (1999)', 'Rank': 8, 'Rating': '4.19'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': 9, 'Rating': '4.19'}, {'Movie': 'Blade Runner (1982)', 'Rank': 10, 'Rating': '4.17'}]","[{'Movie': 'Great Escape, The (1963)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'North by Northwest (1959)', 'Rank': '2', 'Rating': '4.2'}, {'Movie': 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Rank': '3', 'Rating': '4.0'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': '4', 'Rating': '3.8'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': '5', 'Rating': '3.7'}, {'Movie': 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Rank': '6', 'Rating': '3.5'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': '7', 'Rating': '3.3'}, {'Movie': 'Blade Runner (1982)', 'Rank': '8', 'Rating': '3.0'}, {'Movie': 'Fight Club (1999)', 'Rank': '9', 'Rating': '2.8'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '10', 'Rating': '2.5'}]",[4.17 4.19 4.2  4.3  4.3  4.19 4.39 4.38 4.36 4.29],[3.  3.3 2.5 3.5 3.8 2.8 4.5 4.2 3.7 4. ],[10  9  7  5  4  8  1  2  3  6],[ 8  7 10  6  4  9  1  2  5  3],0.918547767,0.769,30,0.769,0.918547767
8,['Action'],"[{'Movie': 'North by Northwest (1959)', 'Rank': 1, 'Rating': '4.38'}, {'Movie': 'Great Escape, The (1963)', 'Rank': 2, 'Rating': '4.32'}, {'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': 3, 'Rating': '4.32'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': 4, 'Rating': '4.29'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': 5, 'Rating': '4.29'}, {'Movie': 'Lord of the Rings: The Return of the King, The (2003)', 'Rank': 6, 'Rating': '4.26'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': 7, 'Rating': '4.25'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': 8, 'Rating': '4.22'}, {'Movie': 'Star Wars: Episode IV - A New Hope (1977)', 'Rank': 9, 'Rating': '4.22'}, {'Movie': 'Fight Club (1999)', 'Rank': 10, 'Rating': '4.18'}]","[{'Movie': 'Star Wars: Episode IV - A New Hope (1977)', 'Rank': '1', 'Rating': '4.8'}, {'Movie': 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Rank': '2', 'Rating': '4.8'}, {'Movie': 'Lord of the Rings: The Return of the King, The (2003)', 'Rank': '3', 'Rating': '4.7'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': '4', 'Rating': '4.6'}, {'Movie': 'North by Northwest (1959)', 'Rank': '5', 'Rating': '4.5'}, {'Movie': 'Fight Club (1999)', 'Rank': '6', 'Rating': '4.4'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': '7', 'Rating': '4.3'}, {'Movie': 'City of God (Cidade de Deus) (2002)', 'Rank': '8', 'Rating': '4.2'}, {'Movie': 'Great Escape, The (1963)', 'Rank': '9', 'Rating': '4.0'}, {'Movie': 'Boondock Saints, The (2000)', 'Rank': '10', 'Rating': '4.0'}]",[4.29 4.22 4.32 4.25 4.18 4.32 4.26 4.38 4.22 4.29],[4.3 4.  4.2 4.6 4.4 4.  4.7 4.5 4.8 4.8],[ 5  8  3  7 10  2  6  1  9  4],[ 7 10  8  4  6  9  3  5  1  2],0.337742505,0.289,0,0.289,0.337742505
9,['Action'],"[{'Movie': 'North by Northwest (1959)', 'Rank': 1, 'Rating': '4.43'}, {'Movie': 'Blade Runner (1982)', 'Rank': 2, 'Rating': '4.33'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': 3, 'Rating': '4.29'}, {'Movie': 'Inglourious Basterds (2009)', 'Rank': 4, 'Rating': '4.24'}, {'Movie': 'Star Wars: Episode IV - A New Hope (1977)', 'Rank': 5, 'Rating': '4.22'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': 6, 'Rating': '4.19'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': 7, 'Rating': '4.19'}, {'Movie': 'Inception (2010)', 'Rank': 8, 'Rating': '4.14'}, {'Movie': 'L�on: The Professional (a.k.a. The Professional) (L�on) (1994)', 'Rank': 9, 'Rating': '4.14'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': 10, 'Rating': '4.11'}]","[{'Movie': 'Blade Runner (1982)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Inception (2010)', 'Rank': '2', 'Rating': '4.4'}, {'Movie': 'Dark Knight, The (2008)', 'Rank': '3', 'Rating': '4.3'}, {'Movie': 'Star Wars: Episode IV - A New Hope (1977)', 'Rank': '4', 'Rating': '4.2'}, {'Movie': 'North by Northwest (1959)', 'Rank': '5', 'Rating': '4.1'}, {'Movie': 'Inglourious Basterds (2009)', 'Rank': '6', 'Rating': '4.0'}, {'Movie': 'L�on: The Professional (1994)', 'Rank': '7', 'Rating': '3.9'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': '8', 'Rating': '3.8'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': '9', 'Rating': '3.7'}, {'Movie': 'Boot, Das (Boat, The) (1981)', 'Rank': '10', 'Rating': '3.6'}]",[4.19 4.33 4.11 4.29 4.14 4.24 4.14 4.43 4.19 4.22],[3.8 4.5 3.6 4.3 4.4 4.  3.9 4.1 3.7 4.2],[ 6  2 10  3  8  4  9  1  7  5],[ 8  1 10  3  2  6  7  5  9  4],0.31199359,0.266,20,0.266,0.31199359
10,['Action'],"[{'Movie': 'Princess Bride, The (1987)', 'Rank': 1, 'Rating': '4.20'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': 2, 'Rating': '4.16'}, {'Movie': 'North by Northwest (1959)', 'Rank': 3, 'Rating': '4.16'}, {'Movie': 'Evil Dead II (Dead by Dawn) (1987)', 'Rank': 4, 'Rating': '4.07'}, {'Movie': 'Aliens (1986)', 'Rank': 5, 'Rating': '4.06'}, {'Movie': 'Femme Nikita, La (Nikita) (1990)', 'Rank': 6, 'Rating': '4.04'}, {'Movie': 'Hot Fuzz (2007)', 'Rank': 7, 'Rating': '4.00'}, {'Movie': ""Once Upon a Time in the West (C'era una volta il West) (1968)"", 'Rank': 8, 'Rating': '3.99'}, {'Movie': 'Jaws (1975)', 'Rank': 9, 'Rating': '3.98'}, {'Movie': 'Seven Samurai (Shichinin no samurai) (1954)', 'Rank': 10, 'Rating': '3.97'}]","[{'Movie': 'Seven Samurai (Shichinin no samurai) (1954)', 'Rank': '1', 'Rating': '4.5'}, {'Movie': 'Princess Bride, The (1987)', 'Rank': '2', 'Rating': '4.5'}, {'Movie': 'Aliens (1986)', 'Rank': '3', 'Rating': '4.4'}, {'Movie': ""Once Upon a Time in the West (C'era una volta il West) (1968)"", 'Rank': '4', 'Rating': '4.4'}, {'Movie': 'Evil Dead II (Dead by Dawn) (1987)', 'Rank': '5', 'Rating': '4.3'}, {'Movie': 'Hot Fuzz (2007)', 'Rank': '6', 'Rating': '4.3'}, {'Movie': 'North by Northwest (1959)', 'Rank': '7', 'Rating': '4.2'}, {'Movie': 'Jaws (1975)', 'Rank': '8', 'Rating': '4.2'}, {'Movie': 'Femme Nikita, La (Nikita) (1990)', 'Rank': '9', 'Rating': '4.1'}, {'Movie': 'Apocalypse Now (1979)', 'Rank': '10', 'Rating': '4.0'}]",[4.06 4.16 4.07 4.04 4.   3.98 4.16 3.99 4.2  3.97],[4.4 4.  4.3 4.1 4.3 4.2 4.2 4.4 4.5 4.5],[ 5  2  4  6  7  9  3  8  1 10],[ 3 10  5  9  6  8  7  4  2  1],0.296091202,0.259,0,0.259,0.296091202
